x_value,total_1,total_2
1665,2596,1915
1666,2592,1919
1667,2591,1922
1668,2599,1922
1669,2597,1917
1670,2604,1923
1671,2602,1920
1672,2609,1916
1673,2615,1916
1674,2619,1919
1675,2621,1924
1676,2624,1919
1677,2619,1915
1678,2620,1921
1679,2626,1922
1680,2622,1925
1681,2619,1923
1682,2623,1922
1683,2621,1918
1684,2621,1916
1685,2628,1918
1686,2622,1913
1687,2626,1918
1688,2620,1923
1689,2618,1919
1690,2622,1923
1691,2618,1928
1692,2612,1934
1693,2610,1937
1694,2607,1937
1695,2611,1938
1696,2615,1933
1697,2616,1928
1698,2618,1929
1699,2625,1931
1700,2630,1926
1701,2635,1932
1702,2643,1936
1703,2642,1935
1704,2649,1931
1705,2648,1926
1706,2649,1928
1707,2654,1934
1708,2653,1938
1709,2653,1934
1710,2651,1940
1711,2653,1937
1712,2658,1938
1713,2656,1938
1714,2661,1940
1715,2657,1946
1716,2658,1951
1717,2664,1955
1718,2667,1951
1719,2670,1947
1720,2676,1950
1721,2680,1949
1722,2687,1954
1723,2687,1960
1724,2685,1961
1725,2687,1956
1726,2689,1952
1727,2693,1949
1728,2696,1954
1729,2694,1960
1730,2699,1962
1731,2702,1967
1732,2704,1964
1733,2709,1962
1734,2709,1957
1735,2715,1954
1736,2714,1953
1737,2713,1950
1738,2710,1956
1739,2711,1957
1740,2718,1961
1741,2720,1965
1742,2724,1961
1743,2726,1959
1744,2723,1962
1745,2729,1962
1746,2723,1966
1747,2723,1970
1748,2725,1965
1749,2724,1970
1750,2725,1973
1751,2727,1969
1752,2731,1971
1753,2734,1967
1754,2740,1964
1755,2747,1965
1756,2744,1965
1757,2750,1967
1758,2754,1962
1759,2749,1960
1760,2755,1957
1761,2756,1952
1762,2754,1954
1763,2758,1960
1764,2758,1958
1765,2758,1964
1766,2766,1959
1767,2768,1959
1768,2764,1956
1769,2768,1951
1770,2769,1949
1771,2768,1954
1772,2766,1952
1773,2774,1957
1774,2774,1955
1775,2768,1961
1776,2764,1958
1777,2768,1953
1778,2764,1948
1779,2768,1946
1780,2774,1952
1781,2769,1954
1782,2770,1953
1783,2769,1954
1784,2770,1949
1785,2765,1948
1786,2759,1944
1787,2756,1942
1788,2762,1942
1789,2757,1944
1790,2759,1943
1791,2758,1948
1792,2752,1951
1793,2749,1948
1794,2745,1945
1795,2748,1949
1796,2751,1949
1797,2746,1945
1798,2752,1951
1799,2749,1953
1800,2752,1950
1801,2754,1956
1802,2751,1961
1803,2752,1963
1804,2753,1961
1805,2753,1964
1806,2756,1968
1807,2752,1967
1808,2752,1971
1809,2757,1971
1810,2757,1976
1811,2756,1976
1812,2764,1972
1813,2767,1971
1814,2762,1968
1815,2758,1971
1816,2754,1967
1817,2760,1970
1818,2766,1971
1819,2760,1974
1820,2760,1974
1821,2754,1970
1822,2749,1970
1823,2754,1969
1824,2762,1971
1825,2768,1972
1826,2770,1971
1827,2774,1975
1828,2778,1980
1829,2775,1986
1830,2771,1986
1831,2772,1982
1832,2780,1982
1833,2779,1983
1834,2783,1986
1835,2783,1987
1836,2786,1984
1837,2781,1983
1838,2785,1987
1839,2784,1992
1840,2787,1998
1841,2789,1993
1842,2797,1989
1843,2805,1985
1844,2803,1986
1845,2805,1985
1846,2808,1981
1847,2806,1984
1848,2806,1988
1849,2811,1994
1850,2814,1993
1851,2814,1995
1852,2818,1996
1853,2814,1992
1854,2813,1995
1855,2813,2001
1856,2807,2003
1857,2807,2004
1858,2805,2008
1859,2811,2010
1860,2816,2012
1861,2812,2007
1862,2815,2002
1863,2819,2005
1864,2822,2011
1865,2818,2010
1866,2824,2008
1867,2818,2006
1868,2812,2006
1869,2820,2001
1870,2817,2001
1871,2821,2007
1872,2827,2003
1873,2822,2006
1874,2820,2005
1875,2820,2002
1876,2827,1999
1877,2830,2003
1878,2837,2004
1879,2840,2004
1880,2848,2004
1881,2848,2007
1882,2850,2007
1883,2853,2010
1884,2853,2006
1885,2850,2007
1886,2855,2006
1887,2856,2010
1888,2853,2015
1889,2848,2013
1890,2845,2016
1891,2842,2011
1892,2844,2017
1893,2846,2021
1894,2852,2023
1895,2857,2028
1896,2859,2030
1897,2860,2032
1898,2867,2034
1899,2872,2029
1900,2868,2028
1901,2866,2034
1902,2874,2029
1903,2874,2033
1904,2880,2031
1905,2879,2035
1906,2878,2039
1907,2883,2035
1908,2880,2032
1909,2885,2034
1910,2883,2029
1911,2877,2035
1912,2877,2038
1913,2880,2042
1914,2879,2041
1915,2882,2037
1916,2888,2038
1917,2890,2034
1918,2890,2032
1919,2895,2030
1920,2891,2025
1921,2893,2026
1922,2892,2026
1923,2891,2031
1924,2891,2027
1925,2892,2030
1926,2895,2025
1927,2903,2020
1928,2906,2024
1929,2912,2024
1930,2916,2020
1931,2917,2021
1932,2914,2027
1933,2919,2026
1934,2915,2029
1935,2910,2031
1936,2910,2037
1937,2910,2037
1938,2917,2039
1939,2923,2044
1940,2931,2039
1941,2936,2042
1942,2930,2039
1943,2936,2036
1944,2931,2036
1945,2937,2032
1946,2935,2033
1947,2936,2032
1948,2941,2033
1949,2936,2028
1950,2940,2031
1951,2941,2035
1952,2943,2037
1953,2939,2032
1954,2941,2038
1955,2948,2034
1956,2956,2038
1957,2957,2037
1958,2958,2034
1959,2959,2031
1960,2955,2027
1961,2950,2027
1962,2947,2033
1963,2941,2028
1964,2944,2030
1965,2944,2026
1966,2938,2032
1967,2937,2038
1968,2940,2033
1969,2948,2031
1970,2951,2032
1971,2946,2032
1972,2946,2038
1973,2946,2043
1974,2954,2042
1975,2956,2044
1976,2960,2043
1977,2961,2038
1978,2956,2038
1979,2961,2042
1980,2959,2048
1981,2953,2046
1982,2956,2041
1983,2953,2045
1984,2953,2051
1985,2948,2054
1986,2950,2055
1987,2945,2056
1988,2947,2060
1989,2949,2058
1990,2946,2064
1991,2949,2067
1992,2948,2068
1993,2948,2066
1994,2956,2067
1995,2961,2073
1996,2963,2076
1997,2958,2077
1998,2956,2075
1999,2963,2073
2000,2965,2077
2001,2960,2078
2002,2967,2078
2003,2969,2080
2004,2966,2077
2005,2961,2074
2006,2962,2074
2007,2957,2072
2008,2957,2068
2009,2956,2066
2010,2956,2061
2011,2961,2057
2012,2962,2052
2013,2967,2048
2014,2971,2046
2015,2966,2051
2016,2964,2046
2017,2967,2050
2018,2968,2049
2019,2963,2048
2020,2969,2053
2021,2963,2054
2022,2962,2060
2023,2957,2064
2024,2965,2068
2025,2967,2066
2026,2975,2069
2027,2976,2071
2028,2978,2076
2029,2979,2073
2030,2973,2073
2031,2979,2071
2032,2975,2071
2033,2973,2077
2034,2967,2082
2035,2975,2085
2036,2971,2087
2037,2972,2093
2038,2974,2093
2039,2973,2090
2040,2979,2086
2041,2979,2091
2042,2985,2093
2043,2984,2091
2044,2991,2093
2045,2990,2098
2046,2997,2101
2047,2996,2102
2048,2991,2098
2049,2997,2103
2050,2998,2107
2051,3005,2102
2052,3009,2101
2053,3007,2099
2054,3003,2094
2055,3010,2100
2056,3016,2098
2057,3020,2098
2058,3027,2101
2059,3025,2102
2060,3027,2105
2061,3021,2105
2062,3019,2100
2063,3016,2105
2064,3023,2104
2065,3030,2109
2066,3028,2109
2067,3032,2104
2068,3040,2102
2069,3036,2105
2070,3040,2111
2071,3044,2110
2072,3047,2108
2073,3046,2113
2074,3052,2119
2075,3049,2116
2076,3053,2112
2077,3060,2110
2078,3056,2112
2079,3061,2111
2080,3066,2109
2081,3072,2111
2082,3070,2114
2083,3073,2115
2084,3073,2114
2085,3068,2110
2086,3065,2112
2087,3071,2107
2088,3068,2110
2089,3063,2106
2090,3064,2107
2091,3070,2105
2092,3075,2102
2093,3075,2101
2094,3083,2096
2095,3082,2091
2096,3083,2086
2097,3084,2088
2098,3082,2087
2099,3079,2085
2100,3075,2082
2101,3077,2078
2102,3082,2084
2103,3082,2079
2104,3081,2074
2105,3079,2076
2106,3082,2072
2107,3080,2077
2108,3076,2075
2109,3083,2070
2110,3091,2065
2111,3089,2071
2112,3090,2069
2113,3098,2068
2114,3095,2067
2115,3100,2072
2116,3107,2076
2117,3102,2074
2118,3098,2069
